epoch,step,train_q_loss,val_mae,val_q_loss
0,49,0.22169429063796997,,
0,99,0.17582207918167114,,
0,149,0.16116559505462646,,
0,199,0.14948180317878723,,
0,249,0.10421197861433029,,
0,299,0.09557097405195236,,
0,340,,0.2915239632129669,0.09392008930444717
1,349,0.0929812490940094,,
1,399,0.08930718898773193,,
1,449,0.0799000933766365,,
1,499,0.0759233832359314,,
1,549,0.07760120928287506,,
1,599,0.07059556990861893,,
1,649,0.07457316666841507,,
1,681,,0.2632434666156769,0.08352161198854446
2,699,0.07822445780038834,,
2,749,0.07321856915950775,,
2,799,0.07054558396339417,,
2,849,0.06897403299808502,,
2,899,0.07745468616485596,,
2,949,0.07740119844675064,,
2,999,0.07301175594329834,,
2,1022,,0.2535943388938904,0.08013210445642471
3,1049,0.07520570605993271,,
3,1099,0.07572581619024277,,
3,1149,0.06686512380838394,,
3,1199,0.0698109045624733,,
3,1249,0.07263720035552979,,
3,1299,0.06450052559375763,,
3,1349,0.06369250267744064,,
3,1363,,0.2428714632987976,0.07688512653112411
4,1399,0.07120780646800995,,
4,1449,0.06995105743408203,,
4,1499,0.069980688393116,,
4,1549,0.07623467594385147,,
4,1599,0.06612025201320648,,
4,1649,0.0635688453912735,,
4,1699,0.06780868023633957,,
4,1704,,0.23834767937660217,0.07538652420043945
