epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,1212.2049560546875,,,,,
0,99,,1129.949951171875,,,,,
0,149,,1129.7484130859375,,,,,
0,199,,699.1240234375,,,,,
0,249,,588.505615234375,,,,,
0,299,,574.842041015625,,,,,
0,349,,548.5145874023438,,,,,
0,399,,555.9752807617188,,,,,
0,449,,596.8615112304688,,,,,
0,499,,545.172119140625,,,,,
0,549,,524.821044921875,,,,,
0,599,,467.3977966308594,,,,,
0,649,,503.3831481933594,,,,,
0,677,,,854.423583984375,656867200.0,1125.8179931640625,0.049651551991701126,537.7747802734375
0,677,730.4791870117188,,,,,,
1,699,,474.1860046386719,,,,,
1,749,,465.6128845214844,,,,,
1,799,,505.2616882324219,,,,,
1,849,,489.193115234375,,,,,
1,899,,459.8031311035156,,,,,
1,949,,501.34619140625,,,,,
1,999,,477.2803039550781,,,,,
1,1049,,465.6502990722656,,,,,
1,1099,,508.0504455566406,,,,,
1,1149,,458.0237121582031,,,,,
1,1199,,450.0047912597656,,,,,
1,1249,,447.5544738769531,,,,,
1,1299,,508.9171447753906,,,,,
1,1349,,411.8327941894531,,,,,
1,1355,,,815.494384765625,650699840.0,1059.84912109375,0.047500643879175186,514.8789672851562
1,1355,472.3665771484375,,,,,,
2,1399,,429.7021484375,,,,,
2,1449,,440.0389099121094,,,,,
2,1499,,390.1560974121094,,,,,
2,1549,,465.398681640625,,,,,
2,1599,,428.7262268066406,,,,,
2,1649,,427.6725158691406,,,,,
2,1699,,383.2886047363281,,,,,
2,1749,,419.9244689941406,,,,,
2,1799,,506.2741394042969,,,,,
2,1849,,441.4173889160156,,,,,
2,1899,,470.5011291503906,,,,,
2,1949,,354.2699279785156,,,,,
2,1999,,419.1167907714844,,,,,
2,2033,,,727.0836181640625,653923456.0,960.948974609375,0.042462706565856934,459.63812255859375
2,2033,429.0660095214844,,,,,,
3,2049,,434.3624267578125,,,,,
3,2099,,381.4550476074219,,,,,
3,2149,,405.6891174316406,,,,,
3,2199,,400.8536682128906,,,,,
3,2249,,438.2254333496094,,,,,
3,2299,,466.727294921875,,,,,
3,2349,,417.4860534667969,,,,,
3,2399,,414.622314453125,,,,,
3,2449,,396.2066650390625,,,,,
3,2499,,344.3251037597656,,,,,
3,2549,,345.3616638183594,,,,,
3,2599,,405.6770935058594,,,,,
3,2649,,373.6036376953125,,,,,
3,2699,,373.16162109375,,,,,
3,2711,,,683.2603149414062,656534912.0,906.7168579101562,0.0396912656724453,435.4552307128906
3,2711,396.4008483886719,,,,,,
4,2749,,366.9253845214844,,,,,
4,2799,,358.6476135253906,,,,,
4,2849,,312.4162902832031,,,,,
4,2899,,372.028564453125,,,,,
4,2949,,361.5934143066406,,,,,
4,2999,,354.3943176269531,,,,,
4,3049,,399.8243103027344,,,,,
4,3099,,392.6529846191406,,,,,
4,3149,,343.5594177246094,,,,,
4,3199,,374.8307189941406,,,,,
4,3249,,358.7891845703125,,,,,
4,3299,,351.6078186035156,,,,,
4,3349,,360.9056701660156,,,,,
4,3389,,,645.9581909179688,669478144.0,876.6307373046875,0.03732994198799133,412.2541809082031
4,3389,376.7821350097656,,,,,,
5,3399,,389.9603271484375,,,,,
5,3449,,395.7618713378906,,,,,
5,3499,,371.57666015625,,,,,
5,3549,,403.3962707519531,,,,,
5,3599,,384.2184143066406,,,,,
5,3649,,369.8404235839844,,,,,
5,3699,,363.2293395996094,,,,,
5,3749,,325.5643310546875,,,,,
5,3799,,370.8243713378906,,,,,
5,3849,,369.0101318359375,,,,,
5,3899,,338.3869934082031,,,,,
5,3949,,363.9135437011719,,,,,
5,3999,,351.1629333496094,,,,,
5,4049,,372.6920166015625,,,,,
5,4067,,,702.03759765625,662559872.0,944.9691772460938,0.04006464034318924,447.74029541015625
5,4067,359.46221923828125,,,,,,
6,4099,,340.4209899902344,,,,,
6,4149,,355.319580078125,,,,,
6,4199,,361.2884826660156,,,,,
6,4249,,364.2762756347656,,,,,
6,4299,,410.316650390625,,,,,
6,4349,,355.1578674316406,,,,,
6,4399,,342.235107421875,,,,,
6,4449,,339.3924255371094,,,,,
6,4499,,300.0191955566406,,,,,
6,4549,,325.9333801269531,,,,,
6,4599,,352.609375,,,,,
6,4649,,341.8044128417969,,,,,
6,4699,,341.2118835449219,,,,,
6,4745,,,655.3359375,670213632.0,893.894775390625,0.037482406944036484,422.3616027832031
6,4745,346.09783935546875,,,,,,
7,4749,,339.13262939453125,,,,,
7,4799,,355.3409729003906,,,,,
7,4849,,336.970947265625,,,,,
7,4899,,331.8683166503906,,,,,
7,4949,,328.2373046875,,,,,
7,4999,,303.2560119628906,,,,,
7,5049,,368.5815124511719,,,,,
7,5099,,375.1678161621094,,,,,
7,5149,,314.5768737792969,,,,,
7,5199,,349.0147705078125,,,,,
7,5249,,337.1525573730469,,,,,
7,5299,,341.7052917480469,,,,,
7,5349,,340.8690490722656,,,,,
7,5399,,290.7179260253906,,,,,
7,5423,,,636.9188232421875,672209152.0,874.8383178710938,0.03659741207957268,409.17132568359375
7,5423,338.0874328613281,,,,,,
8,5449,,309.8049621582031,,,,,
8,5499,,287.9862365722656,,,,,
8,5549,,326.4337463378906,,,,,
8,5599,,331.6821594238281,,,,,
8,5649,,278.4374694824219,,,,,
8,5699,,312.0005187988281,,,,,
8,5749,,311.2303466796875,,,,,
8,5799,,294.7481689453125,,,,,
8,5849,,304.3156433105469,,,,,
8,5899,,352.940673828125,,,,,
8,5949,,302.1631774902344,,,,,
8,5999,,323.4933776855469,,,,,
8,6049,,319.9218444824219,,,,,
8,6099,,316.2789611816406,,,,,
8,6101,,,637.8240966796875,674512640.0,881.3375854492188,0.03637699782848358,411.68988037109375
8,6101,324.2846374511719,,,,,,
9,6149,,304.0005187988281,,,,,
9,6199,,328.57318115234375,,,,,
9,6249,,316.3944396972656,,,,,
9,6299,,303.3304443359375,,,,,
9,6349,,310.31561279296875,,,,,
9,6399,,325.7581787109375,,,,,
9,6449,,330.1221923828125,,,,,
9,6499,,319.8435974121094,,,,,
9,6549,,339.5045166015625,,,,,
9,6599,,277.5932922363281,,,,,
9,6649,,312.543212890625,,,,,
9,6699,,316.9363098144531,,,,,
9,6749,,314.03265380859375,,,,,
9,6779,,,650.928955078125,678077696.0,899.963134765625,0.037239186465740204,419.6461486816406
9,6779,314.79522705078125,,,,,,
10,6799,,274.594482421875,,,,,
10,6849,,346.861083984375,,,,,
10,6899,,338.8692932128906,,,,,
10,6949,,310.0931396484375,,,,,
10,6999,,331.2622375488281,,,,,
10,7049,,322.9460144042969,,,,,
10,7099,,338.9308166503906,,,,,
10,7149,,312.3636779785156,,,,,
10,7199,,287.1242980957031,,,,,
10,7249,,295.5908508300781,,,,,
10,7299,,327.1538391113281,,,,,
10,7349,,298.59210205078125,,,,,
10,7399,,304.6881408691406,,,,,
10,7449,,305.7677917480469,,,,,
10,7457,,,639.7027587890625,660681344.0,884.17919921875,0.03641977161169052,414.5116882324219
10,7457,304.03717041015625,,,,,,
