epoch,step,train_q_loss,val_mae,val_q_loss
0,49,0.257609099149704,,
0,99,0.1880168616771698,,
0,149,0.16793185472488403,,
0,199,0.17136920988559723,,
0,249,0.15889054536819458,,
0,299,0.1364268809556961,,
0,349,0.11001531034708023,,
0,399,0.0972152128815651,,
0,449,0.08595071732997894,,
0,499,0.08174415677785873,,
0,549,0.09667190164327621,,
0,599,0.0943460762500763,,
0,649,0.08193259686231613,,
0,681,,0.2716814875602722,0.08652496337890625
1,699,0.08853311091661453,,
1,749,0.08942331373691559,,
1,799,0.07676127552986145,,
1,849,0.06930505484342575,,
1,899,0.08259101957082748,,
1,949,0.08502976596355438,,
1,999,0.07935962826013565,,
1,1049,0.08650384098291397,,
1,1099,0.08230751007795334,,
1,1149,0.07139261066913605,,
1,1199,0.07517514377832413,,
1,1249,0.07288317382335663,,
1,1299,0.06905975192785263,,
1,1349,0.07403886318206787,,
1,1363,,0.25233498215675354,0.07938747107982635
2,1399,0.07038529962301254,,
2,1449,0.06530854851007462,,
2,1499,0.076725535094738,,
2,1549,0.07639271765947342,,
2,1599,0.06499099731445312,,
2,1649,0.07103276252746582,,
2,1699,0.06795542687177658,,
2,1749,0.07701065391302109,,
2,1799,0.06333686411380768,,
2,1849,0.06985369324684143,,
2,1899,0.06941910833120346,,
2,1949,0.07155407965183258,,
2,1999,0.08019809424877167,,
2,2045,,0.24787381291389465,0.07764045149087906
3,2049,0.08032254129648209,,
3,2099,0.07038871198892593,,
3,2149,0.06733611971139908,,
3,2199,0.07030854374170303,,
3,2249,0.06786157190799713,,
3,2299,0.07600686699151993,,
3,2349,0.06266830116510391,,
3,2399,0.07186046987771988,,
3,2449,0.07043532282114029,,
3,2499,0.0763484537601471,,
3,2549,0.06730005145072937,,
3,2599,0.0684131532907486,,
3,2649,0.07528086751699448,,
3,2699,0.06859443336725235,,
3,2727,,0.2344159483909607,0.07446283847093582
4,2749,0.07514035701751709,,
4,2799,0.06644008308649063,,
4,2849,0.0698215514421463,,
4,2899,0.062335994094610214,,
4,2949,0.0683649480342865,,
4,2999,0.06346189230680466,,
4,3049,0.07442954182624817,,
4,3099,0.058245375752449036,,
4,3149,0.05649609863758087,,
4,3199,0.06425968557596207,,
4,3249,0.06483054906129837,,
4,3299,0.06176193431019783,,
4,3349,0.06871626526117325,,
4,3399,0.07511996477842331,,
4,3409,,0.22851504385471344,0.07249371707439423
