epoch,step,train_q_loss,val_mae,val_q_loss
0,49,0.2197553664445877,,
0,99,0.1791282594203949,,
0,149,0.17555247247219086,,
0,199,0.13205555081367493,,
0,249,0.111642986536026,,
0,299,0.09679806977510452,,
0,349,0.08520994335412979,,
0,399,0.08081591129302979,,
0,449,0.08202901482582092,,
0,499,0.09254785627126694,,
0,549,0.08389432728290558,,
0,599,0.0792340412735939,,
0,649,0.07904054969549179,,
0,681,,0.27094775438308716,0.0864875391125679
1,699,0.08928549289703369,,
1,749,0.08893788605928421,,
1,799,0.06846565753221512,,
1,849,0.08218390494585037,,
1,899,0.07598020136356354,,
1,949,0.07980378717184067,,
1,999,0.07441012561321259,,
1,1049,0.07735887914896011,,
1,1099,0.06547067314386368,,
1,1149,0.081199511885643,,
1,1199,0.08089809864759445,,
1,1249,0.07587278634309769,,
1,1299,0.06693566590547562,,
1,1349,0.0755489245057106,,
1,1363,,0.2545045018196106,0.08082079142332077
2,1399,0.06584034115076065,,
2,1449,0.07675068825483322,,
2,1499,0.07307754456996918,,
2,1549,0.06992404907941818,,
2,1599,0.06875482946634293,,
2,1649,0.0798826739192009,,
2,1699,0.07237420976161957,,
2,1749,0.07075168192386627,,
2,1799,0.06784127652645111,,
2,1849,0.06984484195709229,,
2,1899,0.06628333032131195,,
2,1949,0.06957680732011795,,
2,1999,0.07141238451004028,,
2,2045,,0.24050341546535492,0.07534702867269516
3,2049,0.06626205891370773,,
3,2099,0.06996367871761322,,
3,2149,0.07478725910186768,,
3,2199,0.06077416241168976,,
3,2249,0.06623958796262741,,
3,2299,0.0703166127204895,,
3,2349,0.06632832437753677,,
3,2399,0.059956856071949005,,
3,2449,0.06414096802473068,,
3,2499,0.06999516487121582,,
3,2549,0.06186635047197342,,
3,2599,0.06918150931596756,,
3,2649,0.06275687366724014,,
3,2699,0.06183440238237381,,
3,2727,,0.23159372806549072,0.0727335587143898
4,2749,0.06871722638607025,,
4,2799,0.07248926162719727,,
4,2849,0.06870325654745102,,
4,2899,0.06965453177690506,,
4,2949,0.06774581968784332,,
4,2999,0.06547464430332184,,
4,3049,0.05825359374284744,,
4,3099,0.06817277520895004,,
4,3149,0.060026004910469055,,
4,3199,0.06362984329462051,,
4,3249,0.06546512246131897,,
4,3299,0.06212661787867546,,
4,3349,0.05828161537647247,,
4,3399,0.0577126070857048,,
4,3409,,0.2142389416694641,0.06792660802602768
